year_month,cpi_all
2023 Nov ,114.717
2023 Oct ,115.456
2023 Sep ,114.687
2023 Aug ,114.111
2023 Jul ,113.649
2023 Jun ,113.386
2023 May ,112.844
2023 Apr ,113.302
2023 Mar ,112.394
2023 Feb ,111.932
2023 Jan ,111.567
2022 Dec ,111
2022 Nov ,110.773
2022 Oct ,110.223
2022 Sep ,110.154
2022 Aug ,109.679
2022 Jul ,109.162
2022 Jun ,108.489
2022 May ,107.418
2022 Apr ,107.146
2022 Mar ,106.512
2022 Feb ,105.297
2022 Jan ,104.631
2021 Dec ,104.264
2021 Nov ,103.785
2021 Oct ,103.259
2021 Sep ,102.485
2021 Aug ,102.06
2021 Jul ,101.977
2021 Jun ,101.699
2021 May ,101.712
2021 Apr ,101.638
2021 Mar ,101.069
2021 Feb ,100.754
2021 Jan ,100.776
2020 Dec ,100.3
2020 Nov ,99.937
2020 Oct ,100.028
2020 Sep ,99.952
2020 Aug ,99.621
2020 Jul ,99.475
2020 Jun ,99.314
2020 May ,99.294
2020 Apr ,99.569
2020 Mar ,99.746
2020 Feb ,100.183
2020 Jan ,100.357
2019 Dec ,100.277
2019 Nov ,100.086
2019 Oct ,100.23
2019 Sep ,99.979
2019 Aug ,100.041
2019 Jul ,99.886
2019 Jun ,99.87
2019 May ,100.157
2019 Apr ,100.314
2019 Mar ,99.804
2019 Feb ,99.81
2019 Jan ,99.603
2018 Dec ,99.519
2018 Nov ,99.443
2018 Oct ,99.745
2018 Sep ,99.586
2018 Aug ,99.611
2018 Jul ,99.657
2018 Jun ,99.338
2018 May ,99.282
2018 Apr ,99.389
2018 Mar ,99.132
2018 Feb ,99.193
2018 Jan ,99.417
2017 Dec ,99.076
2017 Nov ,99.173
2017 Oct ,99.083
2017 Sep ,98.888
2017 Aug ,98.908
2017 Jul ,99.059
2017 Jun ,98.808
2017 May ,98.95
2017 Apr ,99.354
2017 Mar ,98.916
2017 Feb ,98.965
2017 Jan ,98.789
2016 Dec ,98.725
2016 Nov ,98.57
2016 Oct ,98.53
2016 Sep ,98.537
2016 Aug ,98.528
2016 Jul ,98.522
2016 Jun ,98.32
2016 May ,98.329
2016 Apr ,98.236
2016 Mar ,98.287
2016 Feb ,98.222
2016 Jan ,98.373
2015 Dec ,98.564
2015 Nov ,98.555
2015 Oct ,98.782
2015 Sep ,98.783
2015 Aug ,98.782
2015 Jul ,99.151
2015 Jun ,99.041
2015 May ,99.149
2015 Apr ,99.422
2015 Mar ,99.319
2015 Feb ,98.941
2015 Jan ,99.125
2014 Dec ,99.198
2014 Nov ,99.311
2014 Oct ,99.553
2014 Sep ,99.423
2014 Aug ,99.612
2014 Jul ,99.547
2014 Jun ,99.378
2014 May ,99.546
